Age,Gender,Height (cm),Weight (kg),Goal,Diet Recommendation,BMI,BMI Category,Food Recommendation,Exercise Recommendation,Hydration Recommendation,Sleep Recommendation
46,Male,166,65,Maintain Weight,Balanced,23.588329220496444,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,7-9 hours/night
42,Female,152,77,Weight Gain,Carb Boost,33.3275623268698,Obesity,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
30,Female,185,81,Maintain Weight,Balanced,23.66691015339664,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,7-9 hours/night
65,Male,179,79,Weight Loss,High Fiber,24.65590961580475,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,7-8 hours/night
38,Male,153,83,Weight Gain,High Protein,35.45644837455679,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
61,Male,148,82,Weight Loss,High Fiber,37.43608473338203,Obesity,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,"7-9 hours/night, consistent schedule"
38,Male,171,80,Weight Gain,High Protein,27.358845456721728,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",4.2 L/day,7-9 hours/night
25,Male,175,56,Weight Loss,High Fiber,18.285714285714285,Underweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,"7-9 hours/night, consistent schedule"
29,Female,174,74,Weight Loss,Low Carb,24.44180208746201,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",3.0 L/day,"7-9 hours/night, consistent schedule"
38,Female,154,91,Weight Loss,Low Carb,38.370720188902006,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
60,Male,177,81,Weight Gain,High Protein,25.854639471416256,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.8 L/day,7-9 hours/night
64,Male,172,86,Maintain Weight,Balanced,29.069767441860467,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.8 L/day,7-9 hours/night
67,Female,152,84,Weight Loss,Low Carb,36.35734072022161,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.4 L/day,7-8 hours/night
24,Male,171,69,Weight Loss,High Fiber,23.59700420642249,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,"7-9 hours/night, consistent schedule"
52,Female,202,87,Weight Loss,Low Carb,21.32143907460053,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
70,Male,151,60,Weight Loss,High Fiber,26.314635323012148,Overweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 5x/week, Strength 3x/week",3.8 L/day,7-8 hours/night
40,Female,194,90,Maintain Weight,Balanced,23.91327452439154,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,7-9 hours/night
53,Female,190,97,Weight Gain,Carb Boost,26.869806094182827,Overweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.2 L/day,7-9 hours/night
49,Female,162,79,Weight Loss,Low Carb,30.102118579484827,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
23,Female,168,87,Weight Gain,Carb Boost,30.8248299319728,Obesity,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.0 L/day,7-9 hours/night
34,Female,162,71,Weight Loss,Low Carb,27.053802773967377,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.2 L/day,"7-9 hours/night, consistent schedule"
38,Female,169,85,Maintain Weight,Balanced,29.76086271489094,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.2 L/day,7-9 hours/night
36,Male,177,95,Weight Gain,High Protein,30.323342589932647,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
33,Male,169,74,Weight Loss,High Fiber,25.909456951787405,Overweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 5x/week, Strength 3x/week",4.2 L/day,"7-9 hours/night, consistent schedule"
25,Female,160,66,Weight Gain,Carb Boost,25.78125,Overweight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.5 L/day,7-9 hours/night
49,Female,177,88,Weight Loss,Low Carb,28.088991030674453,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.2 L/day,"7-9 hours/night, consistent schedule"
68,Female,181,80,Weight Loss,Low Carb,24.41927902078691,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.4 L/day,7-8 hours/night
25,Female,177,70,Weight Gain,Carb Boost,22.34351559258195,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.0 L/day,7-9 hours/night
61,Male,185,82,Weight Gain,High Protein,23.959094229364496,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.3 L/day,7-9 hours/night
20,Female,164,82,Weight Gain,Carb Boost,30.487804878048784,Obesity,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.0 L/day,7-9 hours/night
55,Male,189,64,Weight Loss,High Fiber,17.91663167324543,Underweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
58,Female,175,75,Weight Gain,Carb Boost,24.489795918367346,Normal weight,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.4 L/day,7-9 hours/night
48,Male,171,65,Weight Loss,High Fiber,22.229061933586404,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
48,Female,201,61,Weight Loss,Low Carb,15.098636172371975,Underweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
21,Male,206,72,Weight Loss,High Fiber,16.96672636440758,Underweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,"7-9 hours/night, consistent schedule"
54,Male,173,73,Weight Loss,High Fiber,24.3910588392529,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
24,Male,183,70,Weight Gain,High Protein,20.902385858042937,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",4.1 L/day,7-9 hours/night
41,Male,190,77,Weight Gain,High Protein,21.32963988919668,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
29,Male,163,76,Maintain Weight,Balanced,28.604764951635367,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.6 L/day,7-9 hours/night
36,Male,148,62,Weight Loss,High Fiber,28.305332359386416,Overweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 5x/week, Strength 3x/week",4.2 L/day,"7-9 hours/night, consistent schedule"
52,Female,168,96,Weight Loss,Low Carb,34.013605442176875,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
35,Male,164,76,Maintain Weight,Balanced,28.256989886972047,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.2 L/day,7-9 hours/night
18,Male,182,59,Weight Loss,High Fiber,17.81185847119913,Underweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,"7-9 hours/night, consistent schedule"
24,Female,186,77,Maintain Weight,Balanced,22.25690831309978,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.0 L/day,7-9 hours/night
29,Female,174,71,Maintain Weight,Balanced,23.450918219051392,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.0 L/day,7-9 hours/night
58,Male,163,66,Maintain Weight,Balanced,24.84098008957808,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,7-9 hours/night
24,Male,184,74,Weight Loss,High Fiber,21.85727788279773,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,"7-9 hours/night, consistent schedule"
55,Male,192,86,Weight Loss,High Fiber,23.32899305555556,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
55,Female,168,75,Weight Loss,Low Carb,26.573129251700685,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.2 L/day,"7-9 hours/night, consistent schedule"
59,Female,173,76,Weight Loss,Low Carb,25.393431120318084,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",2.9 L/day,"7-9 hours/night, consistent schedule"
55,Male,172,59,Weight Gain,High Protein,19.94321254732288,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",3.7 L/day,7-9 hours/night
51,Female,166,80,Weight Loss,Low Carb,29.03178980984178,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.2 L/day,"7-9 hours/night, consistent schedule"
44,Male,172,69,Maintain Weight,Balanced,23.323418063818284,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,7-9 hours/night
60,Male,195,84,Weight Loss,High Fiber,22.09072978303748,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,"7-9 hours/night, consistent schedule"
45,Female,166,70,Maintain Weight,Balanced,25.402816083611555,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.2 L/day,7-9 hours/night
43,Male,170,73,Maintain Weight,Balanced,25.25951557093426,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.2 L/day,7-9 hours/night
25,Male,158,81,Weight Gain,High Protein,32.446723281525394,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",4.1 L/day,7-9 hours/night
59,Male,180,91,Weight Loss,High Fiber,28.086419753086417,Overweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 5x/week, Strength 3x/week",3.8 L/day,"7-9 hours/night, consistent schedule"
58,Male,164,85,Maintain Weight,Balanced,31.603212373587155,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.3 L/day,7-9 hours/night
62,Female,167,77,Maintain Weight,Balanced,27.60945175517229,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.9 L/day,7-9 hours/night
63,Female,200,80,Weight Loss,Low Carb,20.0,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.4 L/day,"7-9 hours/night, consistent schedule"
42,Female,182,70,Maintain Weight,Balanced,21.132713440405748,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,7-9 hours/night
51,Female,163,62,Maintain Weight,Balanced,23.335466144755166,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,7-9 hours/night
41,Female,199,69,Maintain Weight,Balanced,17.423802429231586,Underweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
17,Female,152,70,Weight Loss,Low Carb,30.297783933518005,Obesity,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",3.0 L/day,8-10 hours/night
63,Male,161,64,Maintain Weight,Balanced,24.690405462752206,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,7-9 hours/night
42,Female,159,78,Maintain Weight,Balanced,30.853209920493647,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
16,Female,162,82,Maintain Weight,Balanced,31.24523700655387,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",3.0 L/day,8-10 hours/night
32,Female,156,80,Maintain Weight,Balanced,32.87310979618672,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
55,Female,166,67,Weight Loss,Low Carb,24.31412396574249,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
60,Female,171,78,Maintain Weight,Balanced,26.674874320303687,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.9 L/day,7-9 hours/night
55,Female,167,95,Weight Gain,Carb Boost,34.06360930832945,Obesity,"{'Breakfast': 'Whole grain toast with avocado and scrambled eggs', 'Lunch': 'Pasta with lean ground turkey and vegetables', 'Dinner': 'Stir-fried tofu with mixed veggies and sweet potatoes'}","Strength 4-5x/week, Moderate Cardio 2x/week",2.7 L/day,7-9 hours/night
20,Male,157,64,Maintain Weight,Balanced,25.96454217209623,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.6 L/day,7-9 hours/night
61,Male,186,60,Weight Loss,High Fiber,17.343045438779047,Underweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.3 L/day,"7-9 hours/night, consistent schedule"
24,Female,164,76,Weight Loss,Low Carb,28.256989886972047,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 5x/week, Strength 3x/week",3.5 L/day,"7-9 hours/night, consistent schedule"
47,Female,201,70,Maintain Weight,Balanced,17.326303804361284,Underweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
52,Male,196,76,Weight Loss,High Fiber,19.78342357351104,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
51,Male,175,73,Weight Loss,High Fiber,23.83673469387756,Normal weight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 3x/week, Strength 2x/week",3.7 L/day,"7-9 hours/night, consistent schedule"
44,Female,145,80,Maintain Weight,Balanced,38.049940546967896,Obesity,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",2.7 L/day,7-9 hours/night
22,Male,174,90,Weight Loss,High Fiber,29.72651605231867,Overweight,"{'Breakfast': 'Chia pudding with berries and a sprinkle of flaxseeds', 'Lunch': 'Lentil soup with a side of mixed vegetable salad', 'Dinner': 'Stuffed bell peppers with quinoa, beans, and veggies'}","Cardio 5x/week, Strength 3x/week",4.6 L/day,"7-9 hours/night, consistent schedule"
23,Male,185,72,Maintain Weight,Balanced,21.0372534696859,Normal weight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 3x/week, Strength 2x/week",4.1 L/day,7-9 hours/night
32,Male,165,70,Weight Gain,High Protein,25.71166207529844,Overweight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Strength 4-5x/week, Moderate Cardio 2x/week",4.2 L/day,7-9 hours/night
33,Female,172,60,Weight Loss,Low Carb,20.28123309897241,Normal weight,"{'Breakfast': 'Smoothie with protein powder, banana, and spinach', 'Lunch': 'Grilled veggie wrap with hummus', 'Dinner': 'Vegetable stir-fry with tofu and brown rice'}","Cardio 3x/week, Strength 2x/week",2.7 L/day,"7-9 hours/night, consistent schedule"
53,Male,178,92,Maintain Weight,Balanced,29.036737785633125,Overweight,"{'Breakfast': 'Oatmeal with fruits and nuts', 'Lunch': 'Grilled chicken salad with mixed greens and quinoa', 'Dinner': 'Salmon with steamed vegetables and brown rice'}","Cardio 4x/week, Strength 3x/week",4.2 L/day,7-9 hours/night
